duration(s):   channel 1                                                                            channel 2                                                                            
0.324014       C(4)                                                                  |               C(4)                                                                  
0.324014       D(4)                                                                  |               D(4)                                                                  
0.324014       E(4)                                                                  |               E(4)                                                                  
0.324014       F(4)                                                                  |               F(4)                                                                  
0.324014       G(4)                                                                  |               G(4)                                                                  
0.324014       A(4)                                                                  |               A(4)                                                                  
0.324014       B(4)                                                                  |               B(4)                                                                  
0.324014       C(5)                                                                  |               C(5)                                                                  
0.324014       B(4)                                                                  |               B(4)                                                                  
0.324014       A(4)                                                                  |               A(4)                                                                  
0.324014       G(4)                                                                  |               G(4)                                                                  
0.324014       F(4)                                                                  |               F(4)                                                                  
0.324014       E(4)                                                                  |               E(4)                                                                  
0.324014       D(4)                                                                  |               D(4)                                                                  
0.324014       C(4)                                                                  |               C(4)                                                                  
0.324014       C(4)                                                                  |               C(4)                                                                  
0.205147       C(4)                                                                  |               C(4)                                                                  
